[2026-01-05 01:32:49] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 01:32:57] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 87 visible traffic records
[2026-01-05 01:33:03] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 01:33:07] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 225 visible traffic records
[2026-01-05 01:33:11] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 01:33:19] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 01:33:26] USER:admin | ACTION:CLEAR_ALL_TRAFFIC | DETAILS:Cleared all traffic data from database
[2026-01-05 19:29:26] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 19:30:03] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 19:38:46] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 19:39:17] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 20:06:39] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2026-01-05 20:07:01] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2026-01-05 20:09:09] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2026-01-05 20:09:49] USER:qwe | ACTION:LOGOUT | DETAILS:User logged out from the system
[2026-01-05 20:10:05] USER:qwe | ACTION:LOGOUT | DETAILS:User logged out from the system
[2026-01-05 20:14:45] USER:admin | ACTION:PROFILE_UPDATE | DETAILS:User updated their profile
[2026-01-05 20:32:56] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 20:33:24] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 20:35:28] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 20:35:32] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 20:46:47] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 20:46:51] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 23:13:06] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 23:13:18] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
